```csv
Date,"Description",Withdrawals,Deposit,Balance
2024/09/03,"Misc Payment PAY-FILE FEES",2.00,0.00,76701.37
2024/09/03,"Monthly fee",6.00,0.00,76699.37
2024/09/04,"Online Banking transfer - 9891",834.22,0.00,76693.37
2024/09/05,"Investment MD Financial",5000.00,0.00,75859.15
2024/09/06,"Online transfer sent - 1104",2000.00,0.00,70859.15
2024/09/12,"Misc Payment DBA REBATE CDE PROMOTION",0.00,6.00,68859.15
2024/09/13,"Bill Payment GOV NU PAYABLES",0.00,1600.00,68865.15
2024/09/13,"Account Payable Pmt WINCHESTER DMH",0.00,2978.50,0.00
2024/09/13,"Misc Payment ONTARIO HEALTH",0.00,9523.44,0.00
2024/09/17,"Online transfer sent - 5855",2000.00,0.00,80967.09
2024/09/17,"Bill Payment GOV NU PAYABLES",0.00,199.20,0.00
2024/09/17,"Bill Payment GOV NU PAYABLES",0.00,34130.00,115296.29
2024/09/20,"Online transfer sent - 4479",2000.00,0.00,0.00
2024/09/20,"Misc Payment CMPA-ACPM",374.00,0.00,112922.29
2024/09/27,"Bill Payment GOV NU PAYABLES",0.00,735.00,0.00
2024/09/27,"Online transfer sent - 5918",2000.00,0.00,111657.29
```
