Transaction Date,Posting Date,Description,Amount
2025-04-30,2025-04-30,PAYMENT - THANK YOU/PAIEMENT - MERCI,-197.68
2025-05-01,2025-05-01,ANNUAL FEE,-175.0
2025-05-04,2025-05-05,PAYMENT - THANK YOU/PAIEMENT - MERCI,-238.54
2025-05-08,2025-05-08,ANNUAL FEE CREDIT,55.0
2025-05-09,2025-05-12,PAYMENT - THANK YOU/PAIEMENT - MERCI,-1670.0
2025-04-16,2025-04-16,PAYMENT - THANK YOU/PAIEMENT-MERCI,85.75
2025-04-20,2025-04-21,PAYMENT-THANK YOU/PAIEMENT-MERCI,29.69
2025-04-24,2025-04-24,ANNUAL MEMBERSHIP FEE,-10.0
2025-04-21,2025-04-22,UBER TRIP TORONTO ON,-29.69
2025-04-24,2025-04-24,NUBURGER WINNIPEG MB,-28.41
2025-04-25,2025-04-25,GATHER CRAFT KITCHEN A WINNIPEG MB,-84.58
2025-04-26,2025-04-28,FEAST CAFE BISTRO WINNIPEG MB,-76.55
2025-04-27,2025-04-28,UBER CANADA UBERTRIP TORONTO ON,-3.0
2025-04-27,2025-04-28,UBER CANADA/UBERTRIP TORONTO ON,-15.14
2025-04-27,2025-04-29,LYFT 1 RIDE 04-27 VANCOUVER BC,-16.4
2025-05-01,2025-05-02,LYFT  RIDE THU 4AM VANCOUVER BC,-47.14
2025-05-04,2025-05-05,THE COLLEGE OF PHYSICIANSTORONTO ON,-1725.0
