Transaction Date,Posting Date,File,Description,Amount
2025-05-14,2025-05-14,business_visa_multi_page.pdf,ANNUAL FEE REBATE,175.0
2025-05-28,2025-05-28,business_visa_multi_page.pdf,PAYMENT - THANK YOU/PAIEMENT - MERCI,45.79
2025-06-04,2025-06-04,business_visa_multi_page.pdf,PAYMENT - THANK YOU/PAIEMENT - MERCI,1755.36
2025-05-20,2025-05-21,business_visa_multi_page.pdf,WDMH WINCHESTER ON,-5.0
2025-05-21,2025-05-22,business_visa_multi_page.pdf,WDMH WINCHESTER ON,-5.0
2025-05-22,2025-05-23,business_visa_multi_page.pdf,WDMH WINCHESTER ON,-5.0
2025-05-23,2025-05-26,business_visa_multi_page.pdf,UBER CANADA/UBEREATS TORONTO ON,-46.03
2025-05-23,2025-05-26,business_visa_multi_page.pdf,WDMH WINCHESTER ON,-5.0
2025-05-24,2025-05-26,business_visa_multi_page.pdf,UNIVERSEL MONTREAL QC,-61.46
2025-05-25,2025-05-26,business_visa_multi_page.pdf,PIGEON CAFE MONTREAL OC,-33.51
2025-05-25,2025-05-26,business_visa_multi_page.pdf,CIRCLE K #1279 OTTAWA ON,-59.79
2025-05-29,2025-06-02,business_visa_multi_page.pdf,LYFT 1 RIDE 05-29 VANCOUVER BC,-33.34
2025-05-29,2025-05-30,business_visa_multi_page.pdf,MILESTONES CALGARY AB,-56.38
2025-05-30,2025-06-02,business_visa_multi_page.pdf,BANK & BARON PUB CALGARY AB,-60.82
2025-06-02,2025-06-04,business_visa_multi_page.pdf,UBER CANADA/UBERTRIP TORONTO ON,-36.63
2025-06-02,2025-06-03,business_visa_multi_page.pdf,CHILIS WESTJETCALGARY CALGARY AB,-38.1
2025-06-02,2025-06-03,business_visa_multi_page.pdf,PALLISER HOTEL CALGARY AB,-1566.72
2025-06-03,2025-06-04,business_visa_multi_page.pdf,UBER CANADA/UBERTRIP TORONTO ON,-23.53
2025-06-07,2025-06-09,business_visa_multi_page.pdf,UBER CANADA/UBERTRIP TORONTO ON,-3.52
2025-06-08,2025-06-09,business_visa_multi_page.pdf,UBER TRIP UBER.COM/CA/EON,-48.43
2025-06-08,2025-06-10,business_visa_multi_page.pdf,CANADIAN NOR5182600345987ΚΑΝΑΤΑ ON,-84.75
