```csv
"Transaction Date","Posting Date","Description","Amount"
"2025/05/14","2025/05/14","ANNUAL FEE REBATE","-175.00"
"2025/05/28","2025/05/28","PAYMENT - THANK YOU/PAIEMENT - MERCI","-45.79"
"2025/06/04","2025/06/04","PAYMENT - THANK YOU/PAIEMENT - MERCI","-1755.36"
"2025/05/20","2025/05/21","WDMH WINCHESTER ON","5.00"
"2025/05/21","2025/05/22","WDMH WINCHESTER ON","5.00"
"2025/05/22","2025/05/23","WDMH WINCHESTER ON","5.00"
"2025/05/23","2025/05/26","UBER CANADA/UBEREATS TORONTO ON","46.03"
"2025/05/23","2025/05/26","WDMH WINCHESTER ON","5.00"
"2025/05/24","2025/05/26","UNIVERSEL MONTREAL QC","61.46"
"2025/05/25","2025/05/26","PIGEON CAFE MONTREAL OC","33.51"
"2025/05/25","2025/05/26","CIRCLE K #1279 OTTAWA ON","59.79"
"2025/05/29","2025/06/02","LYFT 1 RIDE 05-29 VANCOUVER BC","33.34"
"2025/05/29","2025/05/30","MILESTONES CALGARY AB","56.38"
"2025/05/30","2025/06/02","BANK & BARON PUB CALGARY AB","60.82"
"2025/06/02","2025/06/04","UBER CANADA/UBERTRIP TORONTO ON","36.63"
"2025/06/02","2025/06/03","CHILIS WESTJETCALGARY CALGARY AB","38.10"
"2025/06/02","2025/06/03","PALLISER HOTEL CALGARY AB","1566.72"
"2025/06/03","2025/06/04","UBER CANADA/UBERTRIP TORONTO ON","23.53"
"2025/06/07","2025/06/09","UBER CANADA/UBERTRIP TORONTO ON","3.52"
"2025/06/08","2025/06/09","UBER TRIP UBER.COM/CA/EON","48.43"
"2025/06/08","2025/06/10","CANADIAN NOR5182600345987ΚΑΝΑΤΑ ON","84.75"
```
