Transaction Date,Posting Date,File,Description,Amount
2023-10-15,2023-10-16,business_visa_multi_page_2.pdf,PAYMENT - THANK YOU / PAIEMENT - MERCI,48.0
2023-10-30,2023-10-30,business_visa_multi_page_2.pdf,PAYMENT - THANK YOU / PAIEMENT - MERCI,52.78
2023-11-04,2023-11-06,business_visa_multi_page_2.pdf,PAYMENT - THANK YOU / PAIEMENT - MERCI,50.6
2023-10-12,2023-10-16,business_visa_multi_page_2.pdf,MILL STREET PUB MISSISSAUGA ON,-16.54
2023-10-12,2023-10-13,business_visa_multi_page_2.pdf,UBER* TRIP TORONTO ON,-7.16
2023-10-12,2023-10-13,business_visa_multi_page_2.pdf,UBER CANADA/UBERTRIP TORONTO ON,-35.83
2023-10-26,2023-10-30,business_visa_multi_page_2.pdf,BLUELINE TAXI OTTAWA OTTAWA ON,-50.6
2023-10-26,2023-10-27,business_visa_multi_page_2.pdf,CHILI'S EDMONTON AIRPO EDMONTON INTEAB,-36.25
2023-11-07,2023-11-08,business_visa_multi_page_2.pdf,CWIM GATHER OTTAWA ON,-615.85
2023-11-07,2023-11-08,business_visa_multi_page_2.pdf,UBER CANADA/UBERTRIP TORONTO ON,-26.79
