Transaction Date,Posting Date,Description,Amount
2023-04-21,2023-04-21,PAYMENT - THANK YOU / PAIEMENT - MERCI,1778.32
2023-04-27,2023-04-27,PAYMENT - THANK YOU / PAIEMENT - MERCI,1349.01
2023-05-01,2023-05-01,ANNUAL FEE,-120.0
2023-04-13,2023-04-17,THE COLLEGE OF PHYSICIANSTORONTO ON,-1725.0
2023-04-16,2023-04-17,WDMH WINCHESTER ON,-5.0
2023-04-19,2023-04-21,MILESTONES GRILL & BAR NIAGARA FALLSON,-73.43
2023-04-19,2023-04-20,ONROUTE #01167 BRIGHTON ON,-48.32
2023-04-20,2023-04-24,APPLEBEE'S FALLSVIEW NIAGARA FALLSON,-42.76
2023-04-21,2023-04-24,MDBILLING.CA TORONTO ON,-2.07
2023-04-21,2023-04-24,BLIND PIG NIAGARA NIAGARA FALLSON,-47.46
2023-04-22,2023-04-24,EIGHTY EIGHT SOUTH NIAGARA FALLSON,-42.67
2023-04-23,2023-04-25,IHOP FALLSVIEW NIAGARA FALLSON,-54.1
2023-04-23,2023-04-24,RADISSON HOTEL & SUITE 67NIAGARA FALLSON,-959.86
2023-04-24,2023-04-25,PIONEER STN #130 BEAMSVILLE ON,-57.95
2023-04-24,2023-04-25,MAC'S GAS BAR #7279 OTTAWA ON,-68.71
2023-05-08,2023-05-09,WDMH WINCHESTER ON,-5.0
