Date,Description,Amount,Balance
2023-01-03,Misc Payment PAY-FILE FEES,-2.0,138010.75
2023-01-03,Monthly fee,-6.0,
2023-01-03,Electronic transaction fee 7 Drs @ 0.75 2 Crs @ 0.75,-6.75,137998.0
2023-01-05,Investment MD Financial,-5000.0,132998.0
2023-01-06,Online transfer sent - 2067,-2000.0,130998.0
2023-01-12,Account Payable Pmt WINCHESTER DMH,2695.42,133693.42
2023-01-13,Bill Payment GOV NU PAYABLES,25362.5,
2023-01-13,Misc Payment ONTARIO HEALTH,4759.48,
2023-01-19,Online transfer sent - 5235,-2000.0,161815.4
2023-01-19,e-Transfer sent Adam Jones-Delcorde,-646.39,161167.51
2023-01-19,INTERAC e-Transfer fee,-1.5,
2023-01-19,Online Banking transfer - 4518,-2051.77,159115.74
2023-01-20,Online transfer sent - 8546,-2000.0,
2023-01-20,Misc Payment CMPA-ACPM,-180.0,156935.74
2023-01-27,Online transfer sent - 1757,-2000.0,154935.74
2023-01-31,Online Banking transfer - 2307,-2328.9,152606.84
