Transaction Date,Posting Date,File,Description,Amount
2025-05-12,2025-05-14,personal_visa_multi_page.pdf,DALUIT - NORTHMART #350 IQALUIT NU,-14.68
2025-05-12,2025-05-13,personal_visa_multi_page.pdf,QGH CAFE IQALUIT NU,-3.5
2025-05-12,2025-05-13,personal_visa_multi_page.pdf,SP PWIL CANADA VANCOUVER BC,-168.1
2025-05-13,2025-05-13,personal_visa_multi_page.pdf,BELL CANADA (DBI) MONTREAL QC,-125.43
2025-05-13,2025-05-14,personal_visa_multi_page.pdf,APPLE COMIBILL 866-712-7753 ON,-4.51
2025-05-13,2025-05-14,personal_visa_multi_page.pdf,MALIKKAAT IQALUIT NU,-30.24
2025-05-13,2025-05-14,personal_visa_multi_page.pdf,BLACK HEART CAFE IQALUIT,-14.44
2025-05-13,2025-05-13,personal_visa_multi_page.pdf,PAYMENT - THANK YOU/PAIEMENT - MERCI,232.83
2025-05-15,2025-05-15,personal_visa_multi_page.pdf,ROYAL CANADIAN LEGION IQALUIT NU,-18.93
2025-05-15,2025-05-15,personal_visa_multi_page.pdf,ROYAL CANADIAN LEGION IQALUIT NU,-15.0
2025-05-16,2025-05-16,personal_visa_multi_page.pdf,STOREHOUSE BAR & GRILL IQALUIT NU,-86.55
2025-05-19,2025-05-21,personal_visa_multi_page.pdf,01279 MACS CONN. STORES OTTAWA ON,-3.19
2025-05-19,2025-05-21,personal_visa_multi_page.pdf,RELIANCE HOME COMFORT TORONTO ON,-107.34
2025-05-19,2025-05-21,personal_visa_multi_page.pdf,RELIANCE HOME COMFORT TORONTO ON,-116.88
2025-05-20,2025-05-23,personal_visa_multi_page.pdf,FOODLAND #6828 WINCHESTER ON,-49.18
2025-05-20,2025-05-21,personal_visa_multi_page.pdf,PAYMENT - THANK YOU/PAIEMENT - MERCI,385.14
2025-05-20,2025-05-20,personal_visa_multi_page.pdf,FIRSTREPORTIPREMIERRAPPORT1-855-626-5328,-10.16
2025-05-22,2025-05-26,personal_visa_multi_page.pdf,PAYPAL *FACTOR CA 4028357713 ON,-144.05
2025-05-22,2025-05-26,personal_visa_multi_page.pdf,RA-TO PLACE STOM 10751 OTTAWA ON,-27.96
2025-05-22,2025-05-23,personal_visa_multi_page.pdf,CAA INSURANCE COMPANY THORNHILL ON,-45.45
2025-05-22,2025-05-23,personal_visa_multi_page.pdf,CAA INSURANCE COMPANY THORNHILL ON,-118.03
2025-05-22,2025-05-23,personal_visa_multi_page.pdf,PIONEER STN #161 WINCHESTER ON,-50.23
2025-05-23,2025-05-26,personal_visa_multi_page.pdf,BELL CANADA (DBI) MONTREAL QC,-96.55
2025-05-23,2025-05-26,personal_visa_multi_page.pdf,LITTT *3 RIDE 15-22 VANCOUVER BC,-17.99
2025-05-23,2025-05-26,personal_visa_multi_page.pdf,WINCHESTER DIST MEM HOSP WINCHESTER ON,-5.75
2025-05-25,2025-05-27,personal_visa_multi_page.pdf,LGBG/RAD #2112 OTTAWA ON,-124.1
2025-05-26,2025-05-28,personal_visa_multi_page.pdf,MULTI LUMINAIRE NEPEAN ON,-450.87
2025-05-26,2025-05-28,personal_visa_multi_page.pdf,WEST PARK BOWLING OTTAWA ON,-45.34
2025-05-27,2025-05-28,personal_visa_multi_page.pdf,LULULEMON #2248 OTTAWA ON,-38.42
2025-05-27,2025-05-28,personal_visa_multi_page.pdf,WESTBORO SPA & HAIR ST OTTAWA ON,-343.18
2025-05-27,2025-05-28,personal_visa_multi_page.pdf,SQ *BRIDGEHEAD COFFEE MICROTTKAWA ON,-2.98
2025-05-28,2025-06-02,personal_visa_multi_page.pdf,WAL-MART SUPERCENTER#3086OTTAWA ON,-387.43
2025-05-28,2025-05-29,personal_visa_multi_page.pdf,RWCO 2285 NEPEAN ON,-27.07
2025-05-28,2025-05-29,personal_visa_multi_page.pdf,STOKES OTTAWA ON,-5.76
