```csv
Transaction Date,Posting Date,Description,Amount
2025/05/12,2025/05/14,"IQALUIT - NORTHMART #350 IQALUIT NU",14.68
2025/05/12,2025/05/13,"QGH CAFE IQALUIT NU",3.50
2025/05/12,2025/05/13,"SP PWHL CANADA VANCOUVER BC",168.37
2025/05/13,2025/05/14,"BELL CANADA (OB) MONTREAL QC",125.43
2025/05/13,2025/05/14,"APPLE.COM/BILL 866-712-7753 ON",4.51
2025/05/13,2025/05/14,"MALIKKAAT IQALUIT NU",30.24
2025/05/13,2025/05/14,"BLACK HEART CAFE IQALUIT NU",14.44
2025/05/13,2025/05/13,"PAYMENT - THANK YOU / PAIEMENT - MERCI",-232.83
2025/05/15,2025/05/15,"ROYAL CANADIAN LEGION IQALUIT NU",18.97
2025/05/15,2025/05/15,"ROYAL CANADIAN LEGION IQALUIT NU",15.00
2025/05/16,2025/05/20,"STOREHOUSE BAR & GRILL IQALUIT NU",86.55
2025/05/19,2025/05/21,"01279 MACS CONV. STORES OTTAWA ON",3.29
2025/05/19,2025/05/21,"RELIANCE HOME COMFORT TORONTO ON",107.34
2025/05/19,2025/05/21,"RELIANCE HOME COMFORT TORONTO ON",118.89
2025/05/20,2025/05/23,"FOODLAND #6828 WINCHESTER ON",49.18
2025/05/20,2025/05/21,"PAYMENT - THANK YOU / PAIEMENT - MERCI",-395.14
2025/05/20,2025/05/20,"FIRSTREPORT/PREMIERRAPPORT1-855-826-5328",10.16
2025/05/22,2025/05/26,"PAYPAL *FACTOR CA 4029357733 ON",144.89
2025/05/22,2025/05/26,"RA-TD PLACE STDM-10751 OTTAWA ON",27.96
2025/05/22,2025/05/23,"CAA INSURANCE COMPANY THORNHILL ON",46.45
2025/05/22,2025/05/23,"CAA INSURANCE COMPANY THORNHILL ON",118.87
2025/05/22,2025/05/23,"PIONEER STN #161 WINCHESTER ON",50.23
2025/05/23,2025/05/26,"BELL CANADA (OB) MONTREAL QC",96.55
2025/05/23,2025/05/26,"LYFT *1 RIDE 05-22 VANCOUVER BC",17.99
2025/05/23,2025/05/26,"WINCHESTER DIST MEM HOSP WINCHESTER ON",5.75
2025/05/25,2025/05/27,"LCBO/RAO #0212 OTTAWA ON",124.10
